date,temperature,humidity,wind_speed,wind_direction,hour,day,weekday,PM10,PM25,CO,NO2,SO2,O3,AQI
2025-04-17 12:00:00+00:00,31.2,59.762184,65.86052,256.92087,12,17,3,31,14.2,271.4727,5.1015,3.7016544,39.221874,55.41630861
2025-04-17 13:00:00+00:00,30.05,63.825294,57.233475,254.23274,13,17,3,27.6,14.1,298.53265,6.85514,3.549009,35.146873,55.311159
2025-04-17 14:00:00+00:00,28.7,72.4247,53.13995,254.43843,14,17,3,24.5,15,324.71973,9.246468,3.3582022,29.543749,55.90701015
2025-04-17 15:00:00+00:00,28.3,74.57642,54.138058,258.9591,15,17,3,27.2,15.2,334.32166,10.574984,3.2055564,26.4875,56.31008584
2025-04-17 16:00:00+00:00,28.1,74.76944,49.963276,260.29343,16,17,3,29,15.5,316.86362,9.990437,3.1292336,27.50625,56.67811159
2025-04-17 17:00:00+00:00,28.05,73.6389,56.032333,264.02576,17,17,3,32.5,16.2,281.9475,8.396218,3.052911,30.5625,57.16881286
2025-04-17 18:00:00+00:00,27.8,74.26946,54.447422,271.3639,18,17,3,37.7,17.5,246.15851,6.85514,2.9765882,33.61875,57.90987147
2025-04-17 19:00:00+00:00,27.3,78.822716,48.426888,282.3625,19,17,3,42.8,18.6,208.6237,5.632906,2.7857814,36.675,58.75482863
2025-04-17 20:00:00+00:00,27.05,81.20283,50.198044,281.16483,20,17,3,45.1,18.9,170.21599,4.463812,2.5949745,39.73125,59.48211749
2025-04-17 21:00:00+00:00,26.85,81.668915,48.0919,284.03625,21,17,3,44.9,18.6,144.02892,3.5604215,2.442329,41.76875,60.00085861
2025-04-17 22:00:00+00:00,26.55,82.873795,47.74577,288.18915,22,17,3,42,17.8,130.06247,3.0290153,2.4041674,42.7875,60.27233718
2025-04-17 23:00:00+00:00,26.35,83.857185,49.50737,284.40005,23,17,3,38.8,17,128.31667,2.7633123,2.442329,42.7875,60.35836917
2025-04-18 00:00:00+00:00,26.25,84.3538,52.86663,281.3099,0,18,4,34,16.5,152.75793,3.0290153,2.5949745,43.296875,60.35028068
2025-04-18 01:00:00+00:00,26.35,84.36453,50.198044,281.16483,1,18,4,31.2,16.4,233.06497,4.729515,2.9765882,42.278126,60.32832618
2025-04-18 02:00:00+00:00,26.85,79.47834,47.657738,281.76825,2,18,4,30.7,17.8,340.43198,6.9614215,3.5108476,40.75,60.50557929
2025-04-18 03:00:00+00:00,28.45,69.79425,46.696476,272.3859,3,18,4,31.9,18.9,398.91644,8.024234,4.0069456,41.76875,60.80525736
2025-04-18 04:00:00+00:00,30.35,55.50473,57.156387,266.09958,4,18,4,29.3,17.8,360.50873,6.85514,4.38856,47.371876,60.93360239
2025-04-18 05:00:00+00:00,31.4,50.527412,63.335155,262.94778,5,18,4,25.4,15.8,272.34558,4.516953,4.732012,56.03125,60.81401983
2025-04-18 06:00:00+00:00,32,49.291634,66.49187,257.04724,6,18,4,23.3,14.5,206.8779,2.7101717,4.9228187,62.14375,60.56313512
2025-04-18 07:00:00+00:00,32.1,52.774136,64.62155,248.83867,7,18,4,22.6,13.7,192.03856,2.0724843,4.846496,64.69063,60.25321868
2025-04-18 08:00:00+00:00,32.2,53.613472,63.467625,243.95824,8,18,4,23.8,13.9,198.14886,1.9130623,4.5793667,65.2,59.99284669
2025-04-18 09:00:00+00:00,32,53.892895,62.373146,240.77205,9,18,4,25.9,14.6,209.4966,2.0724843,4.350398,64.18125,59.82305873
2025-04-18 10:00:00+00:00,31.6,55.129337,64.1389,240.32701,10,18,4,29,15.5,222.59013,2.4444685,4.2740755,62.653126,60.81658916
2025-04-18 11:00:00+00:00,30.95,58.802338,63.47092,242.6502,11,18,4,34.3,16.9,240.9211,3.0821562,4.235914,59.596874,68.09640687
2025-04-18 12:00:00+00:00,30.05,64.2142,59.237972,239.78876,12,18,4,41.3,17.4,255.76044,4.038687,4.1977525,56.03125,71.63231802
2025-04-18 13:00:00+00:00,29.1,71.40969,53.02921,231.44951,13,18,4,47.8,18.5,264.48947,5.7391872,4.0832686,49.409374,68.92838542
2025-04-18 14:00:00+00:00,28.15,77.76467,48.131176,226.63654,14,18,4,45.5,18.4,269.72687,8.077374,3.930623,40.240623,60.77020716
2025-04-18 15:00:00+00:00,27.6,82.74702,46.38974,228.96475,15,18,4,50.5,19.2,271.4727,9.512171,3.7779772,33.61875,61.12070795
2025-04-18 16:00:00+00:00,27.25,85.989944,45.475563,229.04459,16,18,4,52.9,19.2,269.72687,9.299609,3.6634934,32.6,61.44492118
2025-04-18 17:00:00+00:00,27,87.783676,46.38974,228.96475,17,18,4,53.6,19.2,263.61655,8.130515,3.5108476,34.128124,61.70779672
2025-04-18 18:00:00+00:00,26.9,86.213936,48.39653,243.77809,18,18,4,53.8,19,250.52303,6.908281,3.3582022,36.165627,61.83923449
2025-04-18 19:00:00+00:00,26.8,84.41262,46.51629,251.31255,19,18,4,54.8,18.6,224.33595,5.6860466,3.0910726,37.69375,61.83923449
2025-04-18 20:00:00+00:00,26.55,86.180565,42.595833,256.8094,20,18,4,58.3,18.3,192.03856,4.3043904,2.8239427,39.221874,61.78665935
2025-04-18 21:00:00+00:00,26.4,86.94627,46.67849,256.34955,21,18,4,62.6,18.5,168.47018,3.2415779,2.5949745,41.259377,61.7778968
2025-04-18 22:00:00+00:00,26.4,85.649605,51.093468,254.55362,22,18,4,67.1,19,156.24956,2.55075,2.442329,42.7875,61.88304708
2025-04-18 23:00:00+00:00,26.3,85.897865,50.13527,255.78412,23,18,4,69.6,19.7,152.75793,2.231906,2.366006,44.825,62.11963513
2025-04-19 00:00:00+00:00,26.4,83.35823,52.886486,262.96216,0,19,5,74.7,21.7,168.47018,2.125625,2.366006,48.390625,62.57528612
2025-04-19 01:00:00+00:00,26.85,78.52137,55.968597,264.68555,1,19,5,71.7,22.3,223.46304,3.4009998,2.671297,48.390625,63.09227464
2025-04-19 02:00:00+00:00,27.4,75.56771,51.844044,269.28384,2,19,5,71.9,24.1,296.78687,5.048359,3.0910726,48.390625,63.64431337
2025-04-19 03:00:00+00:00,28.7,70.265884,51.904755,272.86234,3,19,5,87.5,27.6,339.55908,5.9517493,3.739816,50.9375,64.40665249
2025-04-19 04:00:00+00:00,30.1,63.06441,52.038067,264.99945,4,19,5,119.7,32.8,320.35522,5.314062,4.7701735,58.06875,65.72103018
2025-04-19 05:00:00+00:00,31.4,56.445824,51.470127,259.1145,5,19,5,174.6,41.4,271.4727,3.8261247,5.9531765,67.2375,67.96423487
2025-04-19 06:00:00+00:00,32.55,51.92463,50.647736,253.65175,6,19,5,223.5,49.7,233.93787,2.7101717,6.8308883,73.859375,71.04864123
2025-04-19 07:00:00+00:00,33.45,48.911106,50.20223,246.41296,7,19,5,245.9,54.2,224.33595,2.1787655,7.098018,76.91563,74.59746106
2025-04-19 08:00:00+00:00,34.05,45.026337,54.34321,239.15347,8,19,5,274.7,59.4,226.95465,1.9662031,7.021695,77.425,78.58440686
2025-04-19 09:00:00+00:00,34.4,42.02377,57.701115,237.38077,9,19,5,305.5,65.2,239.1753,2.231906,6.7927265,75.89687,87.23192895
2025-04-19 10:00:00+00:00,34.65,37.50244,58.03128,240.57263,10,19,5,326,70.5,265.36237,3.0290153,6.411113,72.33125,97.00768541
2025-04-19 11:00:00+00:00,34.4,33.9338,55.459866,239.84003,11,19,5,330.6,74.7,301.15137,4.25125,5.838692,66.72813,101.2023478
2025-04-19 12:00:00+00:00,33.55,31.395857,49.79491,235.06898,12,19,5,362.3,83.1,336.06747,5.8454685,5.2662716,60.615623,102.3166056
2025-04-19 13:00:00+00:00,31.4,46.30785,45.820515,241.2603,13,19,5,345.5,88.2,372.72937,8.077374,4.617528,53.484375,106.335008
2025-04-19 14:00:00+00:00,30,53.22983,39.149067,257.57407,14,19,5,343.7,92.7,407.64548,11.10639,3.739816,43.296875,113.9579139
2025-04-19 15:00:00+00:00,29.55,52.457703,35.99172,256.46414,15,19,5,367.9,95.7,419.86612,12.753749,3.052911,37.184376,121.8065316
2025-04-19 16:00:00+00:00,29.45,50.023556,39.54924,268.12216,16,19,5,368.8,94.1,394.55194,11.690937,2.7476199,37.69375,129.4909954
2025-04-19 17:00:00+00:00,29.3,46.33112,51.876434,272.14755,17,19,5,337.1,86.8,347.4152,9.246468,2.671297,41.76875,136.4265065
2025-04-19 18:00:00+00:00,28.85,49.2407,60.277935,271.23193,18,19,5,290.6,76.8,299.40555,7.067703,2.5949745,45.334373,142.3565738
2025-04-19 19:00:00+00:00,28.25,55.508934,58.352383,271.90912,19,19,5,250.5,68.5,252.26883,5.5797653,2.4804902,47.371876,147.4761299
2025-04-19 20:00:00+00:00,27.75,58.598507,53.611965,277.64032,20,19,5,225.8,64,204.25919,4.25125,2.366006,48.390625,151.4023093
2025-04-19 21:00:00+00:00,27.15,64.788574,46.700977,299.0545,21,19,5,212.8,62.9,175.4534,3.507281,2.3278446,47.88125,152.3575254
2025-04-19 22:00:00+00:00,26.5,70.722084,44.918133,296.56497,22,19,5,204.4,63.6,151.01213,3.1352968,2.3278446,44.825,153.3170441
2025-04-19 23:00:00+00:00,25.95,73.28308,38.950134,314.32605,23,19,5,198.8,64.5,145.77472,3.2415779,2.366006,40.75,154.2808657
2025-04-20 00:00:00+00:00,25.5,73.20598,33.452118,328.46524,0,20,6,185.8,62.6,225.20885,4.357531,2.5949745,38.7125,155.1607831
2025-04-20 01:00:00+00:00,25.45,78.08203,30.297031,318.46832,1,20,6,177,63.8,500.17313,7.599109,3.2055564,34.128124,156.0536088
2025-04-20 02:00:00+00:00,25.65,68.835396,29.553345,322.12494,2,20,6,165.8,66.1,859.80896,12.009781,4.12143,28.525,156.9571915
2025-04-20 03:00:00+00:00,28.1,49.829235,26.153847,318.01285,3,20,6,156.9,65.9,1039.627,14.188546,5.037303,28.525,157.7811729
2025-04-20 04:00:00+00:00,32.05,21.449038,26.96801,324.78232,4,20,6,163.9,58.6,863.3006,12.169202,6.1439834,40.75,158.3362309
2025-04-20 05:00:00+00:00,35.1,10.737268,30.255426,316.73566,5,20,6,215.6,51,506.28345,8.024234,7.288825,58.578125,158.542764
2025-04-20 06:00:00+00:00,36.85,8.454968,27.33915,301.4295,6,20,6,210.5,43.7,236.55658,4.623234,7.784923,72.33125,158.4136808
2025-04-20 07:00:00+00:00,37.95,7.846576,27.408175,276.78888,7,20,6,183.9,37.4,167.59729,3.0290153,7.021695,77.425,158.0522477
2025-04-20 08:00:00+00:00,38.65,7.8964443,39.575775,267.1845,8,20,6,196,37,185.92824,2.1787655,5.609724,77.425,157.5703369
2025-04-20 09:00:00+00:00,38.75,8.267456,51.60049,262.78583,9,20,6,218.9,39.6,211.2424,1.9662031,4.617528,76.40625,157.0195818
2025-04-20 10:00:00+00:00,38.45,8.651349,58.596535,259.80856,10,20,6,228.6,41.3,208.6237,2.1787655,4.541205,74.36875,156.3913766
2025-04-20 11:00:00+00:00,37.7,9.076157,60.684082,263.25452,11,20,6,230,41.9,213.86111,3.0290153,4.9228187,70.80312,155.6857216
2025-04-20 12:00:00+00:00,36.65,9.752054,58.409924,266.82022,12,20,6,174.2,37.8,254.01463,5.9517493,5.304433,65.2,154.7111431
2025-04-20 13:00:00+00:00,33.45,24.356413,47.780933,249.35294,13,20,6,152.7,41.3,370.11066,9.831015,5.22811,57.05,153.7021425
2025-04-20 14:00:00+00:00,29.95,49.06417,46.19017,235.86401,14,20,6,135,43.7,521.1228,15.091936,5.0754647,45.334373,152.6479627
2025-04-20 15:00:00+00:00,29.05,50.87203,43.46916,243.43501,15,20,6,133.2,44.5,614.5234,18.280375,4.846496,37.184376,151.5464524
2025-04-20 16:00:00+00:00,28.75,49.841217,40.008423,245.09526,16,20,6,131.3,44.8,605.7944,17.589544,4.5030437,34.6375,147.7941795
2025-04-20 17:00:00+00:00,28.4,50.543762,38.033787,256.2005,17,20,6,131.3,44.8,539.45374,14.826233,4.12143,35.146873,143.4851338
2025-04-20 18:00:00+00:00,27.55,57.103012,46.19017,304.136,18,20,6,125.3,44,459.14673,12.116061,3.739816,36.165627,140.1199744
2025-04-20 19:00:00+00:00,27.05,61.050877,42.24443,290.659,19,20,6,116.9,42.6,364.87326,10.096718,3.3963633,36.165627,137.4627297
2025-04-20 20:00:00+00:00,26.5,63.05892,43.139473,302.7352,20,20,6,115.5,42.3,256.63333,8.130515,3.052911,36.675,135.2363896
2025-04-20 21:00:00+00:00,26,64.94915,40.181225,307.794,21,20,6,116.4,42.1,182.43663,6.6425776,2.8621042,36.675,133.1023859
2025-04-20 22:00:00+00:00,25.95,61.764244,40.803425,302.68054,22,20,6,124.3,42.6,142.28311,5.367203,2.7857814,36.165627,130.9478633
2025-04-20 23:00:00+00:00,26.05,56.56035,40.59708,294.51962,23,20,6,131.8,43,135.2999,4.5700936,2.8621042,35.65625,128.7420425
2025-04-21 00:00:00+00:00,25.6,57.90476,33.956684,311.90585,0,21,0,142.5,44,213.86111,4.1449685,2.7476199,37.184376,126.8337512
